
활성 연결

  프로토콜  로컬 주소           외부 주소              상태
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49675          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:55920          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:8080         127.0.0.1:58074        TIME_WAIT
  TCP    127.0.0.1:8080         127.0.0.1:58083        TIME_WAIT
  TCP    127.0.0.1:8380         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:11434        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:50108        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:58046        127.0.0.1:58047        TIME_WAIT
  TCP    127.0.0.1:58084        127.0.0.1:11434        TIME_WAIT
  TCP    127.0.0.1:58085        127.0.0.1:6333         TIME_WAIT
  TCP    192.168.200.102:139    0.0.0.0:0              LISTENING
  TCP    192.168.200.102:3389   192.168.200.100:60613  ESTABLISHED
  TCP    192.168.200.102:7680   192.168.200.100:54927  ESTABLISHED
  TCP    192.168.200.102:7680   192.168.200.100:59660  TIME_WAIT
  TCP    192.168.200.102:7680   192.168.200.100:59671  TIME_WAIT
  TCP    192.168.200.102:7680   192.168.200.100:59685  TIME_WAIT
  TCP    192.168.200.102:50005  4.213.25.242:443       ESTABLISHED
  TCP    192.168.200.102:50043  211.239.236.16:443     CLOSE_WAIT
  TCP    192.168.200.102:50044  23.35.218.131:443      CLOSE_WAIT
  TCP    192.168.200.102:50097  18.97.36.55:443        ESTABLISHED
  TCP    192.168.200.102:51040  64.233.189.188:5228    ESTABLISHED
  TCP    192.168.200.102:55073  172.64.148.235:443     ESTABLISHED
  TCP    192.168.200.102:57926  211.115.106.72:80      CLOSE_WAIT
  TCP    192.168.200.102:57927  211.115.106.72:80      CLOSE_WAIT
  TCP    192.168.200.102:58096  211.115.106.210:80     CLOSE_WAIT
  TCP    192.168.200.102:58097  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58098  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58108  211.115.106.77:80      CLOSE_WAIT
  TCP    192.168.200.102:58109  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58114  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58115  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58116  160.79.104.10:443      TIME_WAIT
  TCP    192.168.200.102:58117  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58118  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58119  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58120  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58121  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58122  160.79.104.10:443      TIME_WAIT
  TCP    192.168.200.102:58123  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58128  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58129  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58130  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58131  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58132  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58133  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58134  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58135  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58136  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58137  160.79.104.10:443      TIME_WAIT
  TCP    192.168.200.102:58143  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58144  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58145  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58146  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58147  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58148  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58149  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58150  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58151  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58152  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58153  160.79.104.10:443      TIME_WAIT
  TCP    192.168.200.102:58154  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58155  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58156  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58157  160.79.104.10:443      TIME_WAIT
  TCP    192.168.200.102:58160  160.79.104.10:443      TIME_WAIT
  TCP    192.168.200.102:58161  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58162  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58163  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58164  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58165  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58166  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58167  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58168  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58169  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58170  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58171  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58172  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58173  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58174  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58175  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58176  160.79.104.10:443      TIME_WAIT
  TCP    192.168.200.102:58177  34.36.57.103:443       ESTABLISHED
  TCP    192.168.200.102:58182  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58183  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58184  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58185  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58186  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58187  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58188  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58189  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58190  160.79.104.10:443      ESTABLISHED
  TCP    192.168.200.102:58200  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58201  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58202  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58203  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58204  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58205  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58206  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58207  34.36.57.103:443       TIME_WAIT
  TCP    192.168.200.102:58208  160.79.104.10:443      TIME_WAIT
  TCP    192.168.200.102:58209  34.36.57.103:443       ESTABLISHED
  TCP    192.168.200.102:58210  34.36.57.103:443       ESTABLISHED
  TCP    192.168.200.102:58211  34.36.57.103:443       ESTABLISHED
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:3389              [::]:0                 LISTENING
  TCP    [::]:5357              [::]:0                 LISTENING
  TCP    [::]:7680              [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:49668             [::]:0                 LISTENING
  TCP    [::]:49669             [::]:0                 LISTENING
  TCP    [::]:49675             [::]:0                 LISTENING
  TCP    [::1]:8001             [::1]:58075            TIME_WAIT
  TCP    [::1]:8001             [::1]:58076            TIME_WAIT
  TCP    [::1]:42050            [::]:0                 LISTENING
  TCP    [::1]:58212            [::1]:8080             SYN_SENT
  TCP    [::1]:58213            [::1]:8080             SYN_SENT
  UDP    0.0.0.0:3389           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:5050           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:21119          *:*                    
  UDP    0.0.0.0:51160          *:*                    
  UDP    0.0.0.0:52382          *:*                    
  UDP    0.0.0.0:54079          34.36.57.103:443       
